ชื่อมงคล,ความหมาย
อรญา,ผู้มีความงามอ่อนหวานและผู้มีความรู้
อรฐา,ผู้มีความงามอ่อนหวานและผู้ตั้งมั่น
อรณัฐ,ผู้มีความงามอ่อนหวานและนักปราชญ์ผู้มีปัญญา
อรธนา,ผู้มีความงามอ่อนหวานและผู้มีทรัพย์
อรนรา,ผู้มีความงามอ่อนหวานและผู้สง่างามในหมู่คน
อรนรินทร์,ผู้ไหลรินอ่อนโยน ผู้มีความงามอ่อนหวาน และผู้เป็นใหญ่ในหมู่คน
อรนลิน,ผู้มีความงามอ่อนหวาน ดอกบัวอันบริสุทธิ์ และผู้ละมุนงดงาม
อรนลินต์,ผู้มีความงามอ่อนหวาน ดอกบัวอันบริสุทธิ์ และผู้ละมุนงดงาม
อรนันท์,ผู้มีความสุขยินดีและผู้มีความงามอ่อนหวาน
อรภัทร,ผู้ดีงามเป็นมงคลและผู้มีความงามอ่อนหวาน
อรภิญญา,ผู้มีความงามอ่อนหวาน ผู้มีความรู้ และผู้มีความรู้ยิ่ง
อรรคนัฏฐ์,ผู้มีความงามอ่อนหวาน
อรรถ,ผู้มีความงามอ่อนหวานและผู้มีสาระ
อรรถนนท์,ผู้มีความงามอ่อนหวาน ผู้มีความสุขยินดี และผู้มีสาระ
อรรถรินทร์,ผู้ไหลรินอ่อนโยน ผู้มีความงามอ่อนหวาน และผู้มีสาระ
อรรถวรรณ,ผู้มีวรรณะงดงาม ผู้มีความงามอ่อนหวาน และผู้มีสาระ
อรรถวัชร์,ผู้มีความงามอ่อนหวาน ผู้แข็งแกร่งดุจเพชร และเพชรหรือสายฟ้าอันแข็งแกร่ง
อรรถวิชญ์,นักปราชญ์ผู้รู้ ผู้มีความงามอ่อนหวาน และผู้มีสาระ
อรรถวิท,ผู้มีความงามอ่อนหวานและผู้มีสาระ
อรรถวิโรจน์,ผู้มีความงามอ่อนหวาน ผู้มีสาระ และผู้รุ่งเรืองสว่างไสว
อรรถวุธ,ผู้มีความงามอ่อนหวาน ผู้มีสาระ และผู้มีพลังป้องกัน
อรลออ,ผู้มีความงามอ่อนหวานและผู้ละเอียดงดงาม
อรวรรณ,ผู้มีวรรณะงดงามและผู้มีความงามอ่อนหวาน
อรวรา,ผู้มีความงามอ่อนหวานและผู้ประเสริฐ
อรวิมล,ผู้มีความงามอ่อนหวานและผู้บริสุทธิ์ผ่องใส
อรวิศ,ผู้มีความงามอ่อนหวานและผู้เป็นใหญ่
อรศิริ,ผู้มีความงามอ่อนหวาน ผู้เป็นใหญ่ และผู้มีสิริมงคล
อรษา,ผู้มีพลังเฉพาะตน ความงามอ่อนหวาน และความอ่อนโยนสง่างาม
อรอร,ผู้มีความงามอ่อนหวานยิ่ง
อรอินทร์,ผู้เป็นใหญ่และผู้มีความงามอ่อนหวาน
อรัญ,ผู้มีความงามอ่อนหวานและป่า ผู้สงบงามตามธรรมชาติ
อรัญญ์,"อรัญญ์ (อรญฺญ: ป., ส. ป่า) = ผู้สงบเยือกเย็นและร่มรื่นดุจป่า"
อรัญญา,ผู้มีความงามอ่อนหวาน ป่า ผู้สงบงามตามธรรมชาติ และผู้เกี่ยวข้องกับป่าอันสงบ
อรัญวิชญ์,นักปราชญ์ผู้รู้ ผู้มีความงามอ่อนหวาน และป่า ผู้สงบงามตามธรรมชาติ
อรัญสิทธิ์,ผู้มีความงามอ่อนหวาน ป่า ผู้สงบงามตามธรรมชาติ และผู้มีความสำเร็จและสิทธิอันชอบ
อรัฐา,ผู้มีความงามอ่อนหวาน หลักแห่งบ้านเมือง และความอ่อนโยนสง่างาม
อริญช์,ผู้มีความอ่อนละมุนและความงามอ่อนหวาน
อริญา,ผู้มีความงามอ่อนหวาน ผู้เป็นใหญ่หรือผู้กล้าต่อศัตรู และผู้มีความรู้
อริน,ผู้ไหลรินอ่อนโยน ผู้มีความงามอ่อนหวาน และผู้เป็นใหญ่หรือผู้กล้าต่อศัตรู
อรินทร,ผู้ไหลรินอ่อนโยน ผู้มีความงามอ่อนหวาน และผู้เป็นใหญ่หรือผู้กล้าต่อศัตรู
อรินทร์,ผู้ไหลรินอ่อนโยน ผู้มีความงามอ่อนหวาน และผู้เป็นใหญ่หรือผู้กล้าต่อศัตรู
อรินธา,ผู้ไหลรินอ่อนโยน ผู้มีความงามอ่อนหวาน และผู้เป็นใหญ่หรือผู้กล้าต่อศัตรู
อริรา,ผู้มีความงามอ่อนหวานและผู้เป็นใหญ่หรือผู้กล้าต่อศัตรู
อริวร,ผู้มีความงามอ่อนหวานและผู้เป็นใหญ่หรือผู้กล้าต่อศัตรู
อริศร,ผู้มีความงามอ่อนหวาน ผู้เป็นใหญ่หรือผู้กล้าต่อศัตรู และผู้เป็นใหญ่
อริศรา,ผู้มีความงามอ่อนหวาน ผู้เป็นใหญ่หรือผู้กล้าต่อศัตรู และผู้เป็นใหญ่และงดงาม
อริศิลป์,ผู้มีความงามอ่อนหวาน ผู้เป็นใหญ่หรือผู้กล้าต่อศัตรู และผู้มีศิลปะ
อริษรา,ผู้มีความงามอ่อนหวานและผู้เป็นใหญ่หรือผู้กล้าต่อศัตรู
อริษา,ผู้มีความงามอ่อนหวานและผู้เป็นใหญ่หรือผู้กล้าต่อศัตรู
อริสรา,ผู้มีความงามอ่อนหวาน ผู้เป็นใหญ่หรือผู้กล้าต่อศัตรู และผู้ไหลลื่นงดงาม
อรุณ,ผู้มีความงามอ่อนหวานและผู้รุ่งเรืองดุจแสงอรุณ
อรุณธร,ผู้ค้ำจุน ผู้มีความงามอ่อนหวาน และผู้รุ่งเรืองดุจแสงอรุณ
อรุณภัทร,ผู้ดีงามเป็นมงคล ผู้มีความงามอ่อนหวาน และผู้รุ่งเรืองดุจแสงอรุณ
อรุณโรจน์,ผู้มีความงามอ่อนหวานและผู้รุ่งเรืองดุจแสงอรุณ
อรุณลักษณ์,ผู้มีความงามอ่อนหวาน ผู้รุ่งเรืองดุจแสงอรุณ และผู้มีลักษณะงดงาม
อรุณวรรณ,ผู้มีวรรณะงดงาม ผู้มีความงามอ่อนหวาน และผู้รุ่งเรืองดุจแสงอรุณ
อรุณวิง,ผู้มีความงามอ่อนหวานและผู้รุ่งเรืองดุจแสงอรุณ
อลงค์กร,ผู้มีองค์ประกอบงดงาม
อลัน,ชื่อทับศัพท์ รอการตรวจสอบความหมายเฉพาะ
อลิซ,ชื่อทับศัพท์ รอการตรวจสอบความหมายเฉพาะ
อลิธร,ผู้มีความละมุนเฉพาะตน การค้ำจุน และความละมุน
อลิน,ผู้เปี่ยมด้วยความละมุน
อลินรา,ผู้สง่างามในหมู่คนและผู้ละมุนงดงาม
อลิลน์,ผู้มีลีลางดงามและความละมุน
อลิศ,ผู้มีความละมุนเฉพาะตนและความละมุน
อลิศรา,ผู้เป็นใหญ่และผู้เป็นดั่งศรแห่งความมุ่งมั่น
อลิษชญา,"อลิษ (ไม่ได้มีรากศัพท์บาลี-สันสกฤตโดยตรงที่ให้ความหมายชัดเจนในพจนานุกรมราชบัณฑิตยสถาน แต่ในบริบทของชื่อ มักใช้สื่อถึงความยิ่งใหญ่, ความเป็นเลิศ หรือความงดงาม) + ชญา (จาก ญาณ = ความรู้, ปัญญา) = ผู้มีความรู้และปัญญาอันเป็นเลิศและยิ่งใหญ่"
อลิษญา,ผู้มีพลังเฉพาะตน ความรู้ และความละมุน
อลิษญาลักษณ์,ผู้มีความรู้และผู้มีลักษณะงดงาม
อลิษญาวรัญญา,"อลิษ (ความสว่างไสว, ความรุ่งเรือง) + ญา (ความรู้, ปัญญา) + วรัญญา (ความรู้ที่ประเสริฐ) = ผู้มีความรู้ความปัญญาอันประเสริฐและมีความสว่างไสวรุ่งเรือง"
อลิษณา,ผู้มีพลังเฉพาะตน ความละมุน และความอ่อนโยนสง่างาม
อลิษนภัส,"อลิษ (ความสว่างไสว, ความรุ่งเรือง) + นภัส (ท้องฟ้า, ความสูงส่ง) = ผู้มีความรุ่งเรืองสูงส่งดุจท้องฟ้า"
อลิษภัทรา,"อลิษ (ส่วนประกอบในชื่อสมัยใหม่ ไม่มีรากศัพท์บาลี-สันสกฤตโดยตรง มักใช้เพื่อความไพเราะและแสดงถึงความพิเศษโดดเด่น) + ภัทรา (บาลี-สันสกฤต: ภทฺรา หมายถึง ความดีงาม, ความเจริญ, ความเป็นมงคล) = ผู้มีความดีงามเจริญรุ่งเรืองและโดดเด่นเป็นพิเศษ"
อลิษรา,ผู้มีพลังเฉพาะตน ความละมุน และความอ่อนโยนสง่างาม
อลิษวรัญญา,"อลิษ (ความสว่างไสว, ความรุ่งเรือง) + วรัญญา (ความรู้ที่ประเสริฐ) = ผู้มีความรู้ที่ประเสริฐและมีความสว่างไสวรุ่งเรือง"
อลิษา,ผู้มีพลังเฉพาะตน ความละมุน และความอ่อนโยนสง่างาม
อลิส,ชื่อทับศัพท์ รอการตรวจสอบความหมายเฉพาะ
อลิสิทธิ์,ผู้มีความสำเร็จและสิทธิอันชอบและผู้มีสิทธิและความสำเร็จ
อ้วน,ผู้เปี่ยมด้วยความสมบูรณ์
อวบอ่อน,ผู้เปี่ยมด้วยความไม่สิ้นสุด
อวริน,ผู้ประเสริฐดุจสายน้ำและผู้ไหลรินอ่อนโยน
อวรินนันท์,ผู้ประเสริฐดุจสายน้ำ ผู้มีความสุขยินดี และผู้ไหลรินอ่อนโยน
อวรินภัทร,ผู้ดีงามเป็นมงคล ผู้ประเสริฐดุจสายน้ำ และผู้ไหลรินอ่อนโยน
อวรินวรา,ผู้ประเสริฐดุจสายน้ำ ผู้ไหลรินอ่อนโยน และผู้ประเสริฐ
ออ,ผู้มีความนุ่มนวลและเป็นธรรมชาติ
อ้อ,ผู้ยืดหยุ่น อ่อนโยน และมีเสน่ห์
ออกัส,ชื่อทับศัพท์ สื่อถึงความยิ่งใหญ่ตามรากตะวันตก
ออน,ผู้มีความนุ่มนวลและจิตใจละมุน
อ่อนคำ,ผู้มีความอ่อนโยนและมีค่าดุจทองคำ
ออม,ผู้เปี่ยมด้วยความยั่งยืน
อะกิ,ชื่อทับศัพท์ รอการตรวจสอบความหมายเฉพาะ
อะคะปัน,ผู้เปี่ยมด้วยความยิ่งใหญ่
อะชิรนันท์,ผู้มีความว่องไวและความสุขยินดี
อะชิรวิช,ผู้มีดวงอาทิตย์และความรู้
อะชิรวิชญ์,ผู้มีดวงอาทิตย์ นักปราชญ์ และความรู้
อะชิรวิญญ์,ผู้มีดวงอาทิตย์และความรู้ลึกซึ้ง
อะชิระ,ผู้เปี่ยมด้วยความว่องไว
อะชิลักษณ์,ผู้มีพลังเฉพาะตนและลักษณะงดงาม
อักษร,ตัวหนังสือหรือความรู้ทางภาษา
อักษรชู,ตัวหนังสือหรือความรู้ทางภาษา
อักษรธร,ผู้ค้ำจุนและตัวหนังสือหรือความรู้ทางภาษา
อักษรวรรณ,ผู้มีวรรณะงดงามและตัวหนังสือหรือความรู้ทางภาษา
อักษรวัชร์,ตัวหนังสือหรือความรู้ทางภาษา ผู้แข็งแกร่งดุจเพชร และเพชรหรือสายฟ้าอันแข็งแกร่ง
อักษรศิลป์,ตัวหนังสือหรือความรู้ทางภาษา ผู้มีศิลปะ และผู้เป็นใหญ่
อักษรสิทธิ์,ตัวหนังสือหรือความรู้ทางภาษา ผู้มีความสำเร็จและสิทธิอันชอบ และผู้มีสิทธิและความสำเร็จ
อักษรสิริ,ผู้มีสิริมงคลและตัวหนังสือหรือความรู้ทางภาษา
อักษรา,ตัวหนังสือหรือความรู้ทางภาษาและอักษรหรือตัวหนังสืออันงดงาม
อักษรินทร์,ผู้ไหลรินอ่อนโยน ตัวหนังสือหรือความรู้ทางภาษา และผู้เป็นใหญ่
อัคคณัฐ,ผู้ยอดเยี่ยมและนักปราชญ์ผู้มีปัญญา
อัครณัฐ,ผู้ยอดเยี่ยมและเป็นเอกและนักปราชญ์ผู้มีปัญญา
อัครธน,ผู้ยอดเยี่ยมและเป็นเอกและผู้มีทรัพย์
อัครธนะโชค,ผู้ยอดเยี่ยมและเป็นเอก ผู้มีทรัพย์ และผู้มีโชคดี
อัครนรินทร์,ผู้ไหลรินอ่อนโยน ผู้ยอดเยี่ยมและเป็นเอก และผู้เป็นใหญ่ในหมู่คน
อัครนันท์,ผู้มีความสุขยินดีและผู้ยอดเยี่ยมและเป็นเอก
อัครนิธิ,ผู้ยอดเยี่ยมและเป็นเอกและผู้เป็นขุมทรัพย์
อัครนิธิศ,ผู้ยอดเยี่ยมและเป็นเอก ผู้เป็นใหญ่ และผู้เป็นขุมทรัพย์
อัครปัญญ์,ผู้ยอดเยี่ยมและเป็นเอกและผู้มีปัญญา
อัครภัทร,"อัคร (อกฺร: ป., ส. ยอด, เลิศ, ที่สุด) + ภัทร (ภทฺร: ป., ส. เจริญ, ดี, งาม, เป็นมงคล) (สมาส) = ผู้มีความเจริญอันเป็นเลิศ, ผู้ประเสริฐและเป็นมงคลอย่างยิ่ง"
อัครโภคินนท์,ผู้ยอดเยี่ยมและเป็นเอก ผู้มีความสุขยินดี และผู้มั่งมีโภคทรัพย์
อัครรัฐ,ผู้ยอดเยี่ยมและเป็นเอกและผู้เกี่ยวข้องกับบ้านเมือง
อัครวัชร,ผู้ยอดเยี่ยมและเป็นเอก ผู้แข็งแกร่งดุจเพชร และเพชรหรือสายฟ้าอันแข็งแกร่ง
อัครวิชญ์,นักปราชญ์ผู้รู้และผู้ยอดเยี่ยมและเป็นเอก
อัครวินท์,ผู้ยอดเยี่ยมและเป็นเอกและผู้มีชัยชนะ
อัครศิลป์,ผู้ยอดเยี่ยมและเป็นเอก ผู้มีศิลปะ และผู้เป็นใหญ่
อัครสร,ผู้ยอดเยี่ยมและเป็นเอกและผู้มีแก่นสาร
อัครสิทธิ์,ผู้ยอดเยี่ยมและเป็นเอก ผู้มีความสำเร็จและสิทธิอันชอบ และผู้มีสิทธิและความสำเร็จ
อัคระ,ผู้ยอดเยี่ยมและเป็นเอก
อัครา,ผู้ยอดเยี่ยมและเป็นเอก
อัครานนท์,ผู้ยอดเยี่ยมและเป็นเอกและผู้มีความสุขยินดี
อัครินทร์,ผู้ไหลรินอ่อนโยน ผู้ยอดเยี่ยมและเป็นเอก และผู้เป็นใหญ่
อังคณา,หญิงงาม
อังค์วรา,ผู้มีองค์ประกอบงดงาม ความประเสริฐ และความอ่อนโยนสง่างาม
อังคาร,ดาวอังคารหรือวันอังคาร
อังษณา,ผู้มีพลังเฉพาะตนและความอ่อนโยนสง่างาม
อัจฉรา,นางฟ้าหรือผู้วิเศษงดงาม
อัจฉราวิชญ์,นักปราชญ์ผู้รู้และนางฟ้าหรือผู้วิเศษงดงาม
อัจฉรินทร์,ผู้ไหลรินอ่อนโยนและผู้เป็นใหญ่
อัจฉรินธร,ผู้ค้ำจุนและผู้ไหลรินอ่อนโยน
อัจฉรีย์,ผู้มีความอัศจรรย์และความสง่างาม
อัญ,สิ่งพิเศษหรือสิ่งอื่นอันแตกต่าง
อัญชลินทร์,สิ่งอื่นหรือสิ่งพิเศษ ผู้เย็นใสดุจสายน้ำ และผู้ละมุนงดงาม
อัญชัญ,ดอกอัญชัน สีงามตามธรรมชาติ
อัญชิรา,
อัญญธิญาน์,ผู้มีความพิเศษ ความรู้ และการค้ำจุน
อัญญา,สิ่งอื่นหรือสิ่งพิเศษ ผู้มีความรู้อันแตกต่าง และผู้มีความรู้
อัญญาริน,ผู้ไหลรินอ่อนโยน สิ่งอื่นหรือสิ่งพิเศษ และผู้มีความรู้อันแตกต่าง
อัญญารินทร์,ผู้ไหลรินอ่อนโยน สิ่งอื่นหรือสิ่งพิเศษ และผู้มีความรู้อันแตกต่าง
อัญญาลักษณ์,สิ่งอื่นหรือสิ่งพิเศษ ผู้มีความรู้อันแตกต่าง และผู้มีความรู้
อัญญาวริน,
อัญรินทร์,ผู้ไหลรินอ่อนโยน สิ่งอื่นหรือสิ่งพิเศษ และผู้เป็นใหญ่
อัญวรา,สิ่งอื่นหรือสิ่งพิเศษและผู้ประเสริฐ
อัญศรา,สิ่งอื่นหรือสิ่งพิเศษ ผู้เป็นใหญ่ และผู้เป็นดั่งศรแห่งความมุ่งมั่น
อัญศิริ,สิ่งอื่นหรือสิ่งพิเศษ ผู้เป็นใหญ่ และผู้มีสิริมงคล
อัญสร,สิ่งอื่นหรือสิ่งพิเศษและผู้มีแก่นสาร
อัญสรา,สิ่งอื่นหรือสิ่งพิเศษ ผู้ไหลลื่นงดงาม และผู้มีแก่นสาร
อัญสิริ,ผู้มีสิริมงคลและสิ่งอื่นหรือสิ่งพิเศษ
อัญสิริโชค,ผู้มีสิริมงคล สิ่งอื่นหรือสิ่งพิเศษ และผู้มีโชคดี
อัฐ,แปดหรือสิ่งมั่นคง
อัฐพงษ์,แปดหรือสิ่งมั่นคงและผู้สืบวงศ์ตระกูล
อัดนาน,ผู้มีความมั่นคงและความอ่อนโยน
อันต์นลิน,ดอกบัวอันไม่มีที่สิ้นสุด
อันทะระ,ผู้เปี่ยมด้วยความกว้างใหญ่
อันธิฌา,ผู้มีความกว้างใหญ่ การค้ำจุน และความอ่อนโยนสง่างาม
อันวาร์,ชื่อทับศัพท์ รอการตรวจสอบความหมายเฉพาะ
อัมภิรา,ผู้มีความลึกซึ้งและความอ่อนโยนสง่างาม
อัมรัน,ผู้เปี่ยมด้วยความมั่นคงลึกล้ำ
อัมลิน,ผู้เปี่ยมด้วยความละมุน
อัษฏา,แปดหรือผู้ประกอบด้วยคุณแปดประการ
อัษฏาวุธ,แปดหรือผู้ประกอบด้วยคุณแปดประการและผู้มีพลังป้องกัน
อัษฏาวุษ,ผู้เปี่ยมด้วยพลังเฉพาะตน
อาคะนิช,ผู้มีแสงรุ่งและคุณค่าเฉพาะตน
อาคิ,ชื่อทับศัพท์ รอการตรวจสอบความหมายเฉพาะ
อาคิระ,ชื่อทับศัพท์ รอการตรวจสอบความหมายเฉพาะ
อาคิราห์,ชื่อทับศัพท์ รอการตรวจสอบความหมายเฉพาะ
อาจนาวัง,ผู้มีความกล้าหาญและความอ่อนโยน
อาจหาญ,ผู้กล้าหาญองอาจ
อาณัชญา,ผู้มีอำนาจคุ้มครอง ความรู้ และความอ่อนโยนสง่างาม
อาณาจักร,อำนาจหรือขอบเขตการปกครอง เขตแดนแห่งอำนาจ และผู้สร้างสรรค์
อาณาจักรสิทธิ์,อำนาจหรือขอบเขตการปกครอง เขตแดนแห่งอำนาจ และผู้สร้างสรรค์
อาณารักษ์,อำนาจหรือขอบเขตการปกครอง
อานนท์,ผู้มีความสุขยินดี
อานวา,ผู้มีความกว้างขวาง ความกว้างไกล และความใหม่งดงาม
อาโป,น้ำหรือธาตุน้ำ
อาม,ผู้เปี่ยมด้วยความสงบ
อามนา,ผู้มีจิตใจ ความอ่อนโยน และความอ่อนโยนสง่างาม
อาร์ต,ชื่อทับศัพท์ หมายถึงศิลปะหรือความสร้างสรรค์
อาร์ม,ชื่อทับศัพท์ อาจหมายถึงแขนหรือสัญลักษณ์ตามบริบท
อารมณ์,ผู้เปี่ยมด้วยความอ่อนโยน
อาร์มิน,ชื่อทับศัพท์ รอการตรวจสอบความหมายเฉพาะ
อาร์วิน,ชื่อทับศัพท์ รอการตรวจสอบความหมายเฉพาะ
อารักษ์,ผู้ปกป้องคุ้มครอง
อารัญ,ผู้เปี่ยมด้วยความรื่นรมย์
อาริซ,ผู้เปี่ยมด้วยความอ่อนละมุน
อาริญาลักษณ์,"อาริ (ผู้มีน้ำใจ, ผู้เจริญ) + ญา (ความรู้, ปัญญา) + ลักษณ์ (ลักษณะ, คุณสมบัติ) = ผู้มีลักษณะแห่งน้ำใจ ปัญญา และความเจริญ"
อาริญาวรัญญา,อาริญา (ผู้มีน้ำใจและปัญญา) + วรัญญา (ความรู้ที่ประเสริฐ) = ผู้มีน้ำใจและปัญญาความรู้ที่ประเสริฐ
อาริณ,ผู้เปี่ยมด้วยความอ่อนละมุน
อาริณนภัส,"อาริณ (ผู้มีน้ำใจ, ผู้เจริญ) + นภัส (ท้องฟ้า, ความสูงส่ง) = ผู้มีน้ำใจและความเจริญสูงส่งดุจท้องฟ้า"
อาริณภัทรา,"อาริณ (ส่วนประกอบในชื่อสมัยใหม่ ไม่มีรากศัพท์บาลี-สันสกฤตโดยตรง มักให้ความหมายถึงความมีเกียรติ ความเป็นผู้นำ หรือความประเสริฐ) + ภัทรา (บาลี-สันสกฤต: ภทฺรา หมายถึง ความดีงาม, ความเจริญ, ความเป็นมงคล) = ผู้มีความดีงามเจริญรุ่งเรืองและทรงเกียรติ"
อาริณรงค์,"อาริ (บาลี-สันสกฤต: ศัตรู) + ณรงค์ (สันสกฤต, จาก รณ: การรบ, การต่อสู้, ความพยายาม) = ผู้รบชนะศัตรู, ผู้กล้าหาญในการต่อสู้กับศัตรู"
อาริณวรัญญา,"อาริณ (ผู้มีน้ำใจ, ผู้เจริญ) + วรัญญา (ความรู้ที่ประเสริฐ) = ผู้มีความรู้ที่ประเสริฐและมีความเจริญมีน้ำใจ"
อาริณา,ผู้มีความอ่อนละมุนและความอ่อนโยนสง่างาม
อาริน,ผู้มีความอ่อนละมุนและความละมุนดุจสายน้ำ
อารินทร์,"อาริ (บาลี-สันสกฤต: ศัตรู) + อินทร์ (สันสกฤต, จาก อินทระ: ผู้เป็นใหญ่, จอม) = ผู้เป็นใหญ่เหนือศัตรู, จอมผู้พิชิตศัตรู"
อารินา,ผู้มีความอ่อนละมุน ความละมุนดุจสายน้ำ และความอ่อนโยน
อาริภัค,ผู้เปี่ยมด้วยโชคและความสุข
อาริวิชญ์,ผู้มีความอ่อนละมุน นักปราชญ์ และความรู้
อาริศ,ผู้เปี่ยมด้วยความอ่อนละมุน
อาริษ,ผู้เปี่ยมด้วยความอ่อนละมุน
อาริษา,ผู้มีความอ่อนละมุนและความอ่อนโยนสง่างาม
อาริส,ผู้เปี่ยมด้วยความอ่อนละมุน
อาริสิทธิ์,ผู้มีความสำเร็จและสิทธิอันชอบและผู้มีสิทธิและความสำเร็จ
อารี,ผู้มีเมตตาเอื้อเฟื้อ
อารีย์,ผู้มีเมตตาเอื้อเฟื้อ
อารีรักษ์,ผู้มีเมตตาเอื้อเฟื้อและผู้ปกป้องรักษา
อาลิษา,ผู้มีพลังเฉพาะตน ความละมุน และความอ่อนโยนสง่างาม
อาวรณ์,ความผูกพันหรือความอาลัย
อาวุธ,ผู้มีพลังป้องกันและผู้ค้ำจุน
อำนาจ,ผู้มีอำนาจบารมี
อำนาจเจริญ,ผู้มีอำนาจบารมีและผู้เจริญรุ่งเรือง
อำไพ,ผู้สว่างงดงาม
อิง,ผู้พึ่งพิงหรือแนบชิด
อิงค์วรา,ผู้พึ่งพิงหรือแนบชิดและผู้ประเสริฐ
อิงคัวรา,ผู้พึ่งพิงหรือแนบชิดและผู้ประเสริฐ
อิงลักษณ์,ผู้พึ่งพิงหรือแนบชิดและผู้มีลักษณะงดงาม
อิงอร,ผู้พึ่งพิงหรือแนบชิดและผู้มีความงามอ่อนหวาน
อิจิโร่,ชื่อญี่ปุ่น รอการตรวจสอบความหมายเฉพาะ
อิฐ,สิ่งก่อสร้างที่มั่นคง
อิทธิ,ผู้มีฤทธิ์อำนาจ ผู้ค้ำจุน และผู้มีปัญญา
อิทธิ์,ผู้มีฤทธิ์อำนาจ ผู้ค้ำจุน และผู้มีปัญญา
อิทธิกร,ผู้มีฤทธิ์อำนาจ ผู้ค้ำจุน และผู้มีปัญญา
อิทธิเชษฐ์,ผู้มีฤทธิ์อำนาจ ผู้ค้ำจุน และผู้ประเสริฐเป็นใหญ่
อิทธิเชษฐ์สิทธิ์,ผู้มีฤทธิ์อำนาจ ผู้ค้ำจุน และผู้ประเสริฐเป็นใหญ่
อิทธิณรงค์,"อิทธิ (บาลี-สันสกฤต: ความสำเร็จ, อำนาจ, ฤทธิ์) + ณรงค์ (สันสกฤต, จาก รณ: การรบ, การต่อสู้, ความพยายาม) = ผู้มีฤทธิ์อำนาจหรือความสำเร็จในการต่อสู้, ผู้ทรงอำนาจแห่งชัยชนะ"
อิทธิณัฐ,"อิทธิ (บาลี-สันสกฤต: ความสำเร็จ, อำนาจ, ฤทธิ์) + ณัฐ (สันสกฤต: นักปราชญ์, ผู้คงแก่เรียน) = นักปราชญ์ผู้มีฤทธิ์อำนาจ, ผู้ทรงความรู้และความสำเร็จ"
อิทธิธนา,ผู้มีฤทธิ์อำนาจ ผู้มีทรัพย์ และผู้ค้ำจุน
อิทธิธัช,"อิทธิ (บาลี-สันสกฤต: ความสำเร็จ, อำนาจ, ฤทธิ์) + ธัช (สันสกฤต: ธง, เครื่องหมายแห่งเกียรติ) = ผู้มีธงแห่งความสำเร็จ, ผู้เป็นเครื่องหมายแห่งอำนาจและชัยชนะ"
อิทธินันต์,ผู้มีฤทธิ์อำนาจ ผู้ค้ำจุน และผู้มีปัญญา
อิทธิภณ,ผู้มีฤทธิ์อำนาจ ผู้ค้ำจุน และผู้มีปัญญา
อิทธิภัทร,ผู้มีฤทธิ์อำนาจ ผู้ดีงามเป็นมงคล และผู้ค้ำจุน
อิทธิวิชญ์,ผู้มีฤทธิ์อำนาจ ผู้ค้ำจุน และผู้มีปัญญา
อิ่น,ผู้เปี่ยมด้วยความสว่างภายใน
อินทนนท์,ผู้เป็นใหญ่
อินทนรลักษณา,ผู้มีพลังเฉพาะตนและความอ่อนโยนสง่างาม
อินทนา,ผู้เป็นใหญ่
อินทร์,ผู้เป็นใหญ่
อินทร์จันทร์,ผู้เป็นใหญ่และผู้เย็นงามดุจจันทร์
อินทร์เจริญ,ผู้เป็นใหญ่และผู้เจริญรุ่งเรือง
อินทร์แจ้ง,ผู้เป็นใหญ่และผู้สว่างชัดเจน
อินทร์ณรงค์,ผู้เป็นใหญ่และผู้กล้าหาญในการต่อสู้
อินทร์ทับ,ผู้มีความสว่างภายในและความเป็นใหญ่
อินทรนันท์,ผู้เป็นใหญ่และผู้มีความสุขยินดี
อินทร์แปลง,ผู้มีความสว่างภายในและความเป็นใหญ่
อินทรภัทร,ผู้เป็นใหญ่และผู้ดีงามเป็นมงคล
อินทรวรา,ผู้เป็นใหญ่และผู้ประเสริฐ
อินทร์อำคา,ผู้มีความสว่างภายใน ความเป็นใหญ่ และความอ่อนโยนสง่างาม
อินทรัช,ผู้เป็นใหญ่และผู้รุ่งเรืองด้วยอำนาจ
อินทรา,ผู้เป็นใหญ่
อินทราธิป,ผู้เป็นใหญ่ ผู้ค้ำจุน และผู้มีปัญญา
อินทรานนท์,ผู้เป็นใหญ่
อินทรานุรักษ์,ผู้เป็นใหญ่และผู้ปกป้องรักษา
อินทราลักษณ์,ผู้เป็นใหญ่และผู้มีลักษณะงดงาม
อินทราวัชร,ผู้เป็นใหญ่และผู้แข็งแกร่งดุจเพชร
อินท์วาริน,ผู้เป็นใหญ่และสายน้ำอันเย็นใส
อินทะจันทร์,ผู้เป็นใหญ่และผู้เย็นงามดุจจันทร์
อินทะวงค์,ผู้เป็นใหญ่และผู้สืบวงศ์ตระกูล
อินทัช,ผู้เป็นใหญ่
อินทิรา,ผู้เป็นใหญ่และผู้มีความงามและความยิ่งใหญ่
อินทิรานันท์,ผู้เป็นใหญ่ ผู้มีความงามและความยิ่งใหญ่ และผู้มีความสุขยินดี
อินทิราวรรณ,ผู้เป็นใหญ่ ผู้มีความงามและความยิ่งใหญ่ และผู้มีวรรณะงดงาม
อินธรักษา,ผู้เป็นใหญ่และผู้ค้ำจุน
อินนะใจ,ผู้เป็นใหญ่ในดวงใจ
อินโน,ผู้เปี่ยมด้วยความสว่างภายใน
อินหวัน,ผู้มีวันมงคลและวันอันเป็นมงคล
อิม,ผู้เปี่ยมด้วยความสว่างภายใน
อิ่ม,ผู้สมบูรณ์พูนสุข
