ชื่อ,คำอ่าน,ความหมาย
ษรัณนันท์,สะ-รัน-นัน,ผู้เป็นที่พึ่งและมีความสุขยินดี
ษรัณภัทร,สะ-รัน-พัด-ทรอ,ผู้เป็นที่พึ่งและดีงามเป็นมงคล
ษรัณภัสร์,สะ-รัน-พัด,ผู้เป็นที่พึ่ง ผู้มีแก่นสาร และมีแสงสว่าง
ษรัณลักษณ์,สะ-รัน-ลัก,ผู้เป็นที่พึ่งและมีลักษณะงดงาม
ษรัณวรรณ,สะ-รัน-สะ-หวัน,ผู้ประเสริฐ ผู้มีวรรณะงดงาม และเป็นที่พึ่ง
ษรัณวิชญ์,สะ-รัน-สะ-ชะ-ยิด,ผู้มีความรู้ ผู้เป็นที่พึ่ง และนักปราชญ์ผู้รู้
ษวริน,สวน-ริน,ผู้ประเสริฐดุจสายน้ำ ผู้ประเสริฐ และไหลรินอ่อนโยน
ษวรินนันท์,สวน-สิ-นัน,ผู้ประเสริฐดุจสายน้ำ ผู้ประเสริฐ และผู้มีความสุขยินดี
ษวรินภัทร,สวน-ริน-พัด-ทรอ,ผู้ประเสริฐดุจสายน้ำ ผู้ประเสริฐ และดีงามเป็นมงคล
ษวรินวรา,สวน-ริ-วะ-รา,ผู้ประเสริฐดุจสายน้ำ ผู้ประเสริฐ และไหลรินอ่อนโยน
ษศิริ,ส-ส-ร,ผู้มีสิริมงคลและเป็นยอดหรือศีรษะอันสูงส่ง
ษศิรินันท์,สะ-สิ-ริน-นัน,ผู้มีสิริมงคล ความสุข และความยินดี
ษศิริภัทร,ส-ส-ร-พัด-ทรอ,ผู้มีสิริมงคล ผู้เป็นยอดหรือศีรษะอันสูงส่ง และผู้ดีงามเป็นมงคล
ษศิริวรา,สะ-สิ-วิ-รา,ผู้มีสิริมงคลและความประเสริฐ
ษอินทร์,สอ-ริน,ผู้มีพลังเฉพาะตนและความเป็นใหญ่
ษอินทรนันท์,สิ-หริน-ทอ-ระ-นัน,ผู้มีความสุขยินดีและเป็นใหญ่
ษอินทรภัทร,อะ-สิน-ทอน-พัด,ผู้ดีงามเป็นมงคลและเป็นใหญ่
ษอินทรวรา,สิ-อน-ทระ-วะ-รา,ผู้ประเสริฐและเป็นใหญ่
ษัช,สัด,ผู้เปี่ยมด้วยพลังเฉพาะตน
ษัชธร,สัด-ชะ-ทอน,ผู้มีพลังเฉพาะตน การค้ำจุน และความมั่นคงสูงส่ง
ษัชรินทร์,สัด-ชะ-ริน,ผู้เป็นใหญ่และไหลรินอ่อนโยน
ษัชลักษณ์,ชัด-ชะ-ลัก,ผู้มีลักษณะงดงามและเย็นใสดุจสายน้ำ
ษัชวรรณ,สัด-ชะ-วัน,ผู้ประเสริฐและมีวรรณะงดงาม
ษัชวิชญ์,ชัด-ชะ-วิด,ผู้มีความรู้และนักปราชญ์ผู้รู้
ษา,สา-สะ,ผู้มีพลังเฉพาะตนและความอ่อนโยนสง่างาม
ษาคร,ขา-คอน,ทะเลหรือแหล่งน้ำใหญ่
ษาธร,สา-ทอน,ผู้มีพลังเฉพาะตน การค้ำจุน และความมั่นคงสูงส่ง
ษาธาธร,สา-ทา-ทอน,ผู้ค้ำจุนและดำรงไว้
ษาธามินทร์,สา-ทา-มิน,ผู้ดำรงไว้และเป็นใหญ่
ษาธาลักษณ์,ทา-ทา-ลัก,ผู้มีลักษณะงดงามและผู้ดำรงไว้
ษาธาลิน,สา-ทา-ลิน,ผู้ดำรงไว้และละมุนงดงาม
ษาธาวรรณ,สา-ทา-วัน,ผู้ประเสริฐ ผู้มีวรรณะงดงาม และผู้ดำรงไว้
ษาธาวรินทร์,ทา-ทา-วะ-ริน,ผู้มีความเป็นผู้นำและความประเสริฐ
ษาธาวิชญ์,กา-ทา-วิด,ผู้มีความรู้ ผู้ดำรงไว้ และนักปราชญ์ผู้รู้
ษาธินท์,สา-ทิน,ผู้มีพลังเฉพาะตน การค้ำจุน และความสุขยินดี
ษาธินันท์,สา-สะ-ทิ-นัน,ผู้มีพลังเฉพาะตน ความสุขยินดี และการค้ำจุน
ษาธิป,สา-ทิบ,ผู้มีพลังเฉพาะตน ความเป็นใหญ่ และการค้ำจุน
ษาธิมา,สา-ทิ-มา,ผู้มีพลังเฉพาะตน ปัญญางดงาม และการค้ำจุน
ษาธิษฐ์,สา-ทิด,ผู้มีพลังเฉพาะตนและการค้ำจุน
ษานนท์,สา-สะ-นน,ผู้มีพลังเฉพาะตนและความสุขยินดี
ษานันท์,สา-นัน,ผู้มีพลังเฉพาะตนและความสุขยินดี
ษานิช,สา-สะ-นิด,ผู้มีพลังเฉพาะตนและคุณค่าเฉพาะตน
ษามา,สา-มา,ผู้มีพลังเฉพาะตน ความงามสง่า และความอ่อนโยนสง่างาม
ษามาธร,สา-มา-ทอน,ผู้ค้ำจุนและมาถึงพร้อมความดี
ษามานันท์,สา-มา-นัน,ผู้มีความสุขยินดีและมาถึงพร้อมความดี
ษามานิศ,สา-มา-นิด,ผู้เป็นใหญ่และมาถึงพร้อมความดี
ษามาลิน,สา-มา-ลิน,ผู้ละมุนงดงามและมาถึงพร้อมความดี
ษามาวรรณ,สา-มา-วัน,ผู้ประเสริฐ ผู้มีวรรณะงดงาม และมาถึงพร้อมความดี
ษามาวิชญ์,สา-มา-วิด,ผู้มีความรู้ นักปราชญ์ผู้รู้ และมาถึงพร้อมความดี
ษามินทร์,สา-มิน,ผู้เปี่ยมด้วยความเป็นใหญ่
ษาริน,สา-สะ-ริน,ผู้มีความอ่อนละมุนและความละมุนดุจสายน้ำ
ษารินกร,สา-ริน-กอน,ผู้สร้างสรรค์และไหลรินอ่อนโยน
ษารินทร์,สา-ริน,ผู้เป็นใหญ่และไหลรินอ่อนโยน
ษารินธร,สา-ริน-ทอน,ผู้ค้ำจุนและผู้ไหลรินอ่อนโยน
ษารินธิป,สา-ริน-ทิบ,ผู้เป็นใหญ่และผู้ไหลรินอ่อนโยน
ษารินนันท์,ขา-ริน-นัน,ผู้มีความสุขยินดีและไหลรินอ่อนโยน
ษารินภรณ์,สา-ริน-พอน,ผู้เป็นเครื่องประดับ ผู้สูงส่งดั่งฟ้า และผู้ไหลรินอ่อนโยน
ษารินภัค,สา-ริน-พัก,ผู้มีโชค ผู้สูงส่งดั่งฟ้า และผู้ไหลรินอ่อนโยน
ษารินภัทร,สา-ริน-พัด-ทรอ,ผู้ดีงามเป็นมงคล ผู้สูงส่งและดีงาม และสูงส่งดั่งฟ้า
ษารินภัสร์,ขา-ริน-พัด,ผู้มีแก่นสาร ผู้มีแสงสว่าง และสูงส่งดั่งฟ้า
ษารินมินทร์,สา-ริน-มิน,ผู้เป็นใหญ่และไหลรินอ่อนโยน
ษารินลักษณ์,สา-สะ-ริน-ลัก,ผู้มีลักษณะงดงามและไหลรินอ่อนโยน
ษารินลิน,สา-ริน-ลิน,ผู้ไหลรินอ่อนโยนและละมุนงดงาม
ษารินวรรณ,สา-ริน-วัน,ผู้ประเสริฐ ผู้มีวรรณะงดงาม และไหลรินอ่อนโยน
ษารินวรินทร์,สา-ริน-วะ-ริน,ผู้มีความเป็นผู้นำและความประเสริฐ
ษารินวิชญ์,สา-ริน-วิด,ผู้มีความรู้ ผู้ไหลรินอ่อนโยน และนักปราชญ์ผู้รู้
ษารินา,สา-ริ-นา,ผู้เป็นพื้นฐานแห่งชีวิตและไหลรินอ่อนโยน
ษาริลา,สา-ริ-ลา,ผู้มีความอ่อนละมุนและความอ่อนโยนสง่างาม
ษาวรรณ,สา-วัน,ผู้ประเสริฐและมีวรรณะงดงาม
ษาวรินทร์,สา-สะ-วะ-ริน,ผู้เป็นใหญ่และประเสริฐ ผู้ประเสริฐดุจสายน้ำ และผู้ประเสริฐ
ษิณ,สิ-นะ,ผู้เปี่ยมด้วยพลังเฉพาะตน
ษิณกร,สิ-นะ-กอน,ผู้มีพลังเฉพาะตน ผู้สร้างสรรค์ และความมั่นคงสูงส่ง
ษิณธร,สิ-นะ-ทอน,ผู้มีพลังเฉพาะตน การค้ำจุน และความมั่นคงสูงส่ง
ษิณธิป,สิน-นะ-ทิบ,ผู้มีพลังเฉพาะตน ความเป็นใหญ่ และการค้ำจุน
ษิณนันท์,สิ-นะ-นัน,ผู้มีพลังเฉพาะตนและความสุขยินดี
ษิณภรณ์,สิน-นะ-พอน,ผู้มีพลังเฉพาะตน เครื่องประดับ และการค้ำจุน
ษิณภัค,สิ-นะ-พัก,ผู้เปี่ยมด้วยโชคและความสุข
ษิณภัทร,สิ-นะ-พัด-ทรอ,ผู้มีพลังเฉพาะตน ความดีงามเป็นมงคล และความมั่นคงสูงส่ง
ษิณภัสร์,สิ-นะ-พัด,ผู้มีแก่นสารและมีแสงสว่าง
ษิณมินทร์,สิน-นะ-มิน,ผู้เปี่ยมด้วยความเป็นใหญ่
ษิณลักษณ์,สิ-นะ-ลัก,ผู้มีพลังเฉพาะตนและลักษณะงดงาม
ษิณลิน,สิ-นะ-ลิน,ผู้เปี่ยมด้วยความละมุน
ษิณวรรณ,สิน-นะ-วัน,ผู้ประเสริฐและมีวรรณะงดงาม
ษิณวรินทร์,สิ-นะ-วะ-ริน,ผู้มีความเป็นผู้นำและความประเสริฐ
ษิณวิชญ์,สิน-นะ-วิด,ผู้มีความรู้และนักปราชญ์ผู้รู้
ษิณา,สิ-นา,ผู้มีพลังเฉพาะตนและความอ่อนโยนสง่างาม
ษิรกร,สิ-ระ-สะ-กอน,ผู้เป็นยอดหรือศีรษะอันสูงส่งและสร้างสรรค์
ษิรธร,สิ-ระ-ทอน,ผู้เป็นยอดหรือศีรษะอันสูงส่งและผู้ค้ำจุน
ษิรภัทร,สิ-หริ-พัด,ผู้เป็นยอดหรือศีรษะอันสูงส่งและผู้ดีงามเป็นมงคล
ษิรภัส,สิ-หริ-พัด,ผู้เป็นยอดหรือศีรษะอันสูงส่งและมีแสงสว่าง
ษิรภัสร์,สิ-ระ-พัด,ผู้มีความสว่าง
ษิรมา,สิ-ระ-มา,ผู้เป็นยอดหรือศีรษะอันสูงส่งและมาถึงพร้อมความดี
ษิรลักษณ์,สิ-ระ-ลัก,ผู้เป็นยอดหรือศีรษะอันสูงส่งและมีลักษณะงดงาม
ษิรวรรณ,สิ-ระ-วัน,ผู้มีความประเสริฐและความงดงาม
ษิรวิชญ์,สิ-หริ-วะ-ชะ-ยา,ผู้มีความรู้
ษิรสิริ,สิ-หริ-สิ-หริ,ผู้เป็นยอดหรือศีรษะอันสูงส่งและมีสิริมงคล
ษิรัญญา,สิ-รัน-ยา,ผู้มีความรื่นรมย์ ความรู้ และปัญญารื่นรมย์
ษิรา,สิ-รา,ผู้มีพลังเฉพาะตนและความอ่อนโยนสง่างาม
ษิรานนท์,สิ-รา-นน,ผู้เป็นยอดหรือศีรษะอันสูงส่งและมีความสุขยินดี
ษิรามล,สิ-รา-มน,ผู้เป็นยอดหรือศีรษะอันสูงส่งและผ่องใส
ษิราวรรณ,สิ-รา-วัน,ผู้มีความประเสริฐและความงดงาม
ษิราวัชร์,สิ-รา-วัด,เพชรหรือสายฟ้า ผู้แข็งแกร่ง ผู้แข็งแกร่งดุจเพชร และเป็นยอ…
ษิริ,สิ-หริ,ผู้มีสิริมงคลและเป็นยอดหรือศีรษะอันสูงส่ง
ษิริณ,สิ-หริ-สน,ผู้เปี่ยมด้วยความอ่อนละมุน
ษิริน,สิ-ริน,ผู้มีสิริมงคล ผู้เป็นยอดหรือศีรษะอันสูงส่ง และผู้ไหลรินอ่อนโยน
ษิรินทร์,สิ-ริน,ผู้มีสิริมงคลและความเป็นผู้นำ
ษิรินทร์กร,สิ-ริน-กอน,ผู้มีสิริมงคล ผู้เป็นใหญ่และมีสิริมงคล และผู้เป็นยอดหรือศีรษะอันสูงส่ง
ษิรินทร์ธร,สิ-ริน-ทอน,ผู้มีสิริมงคลและความเป็นผู้นำ
ษิรินทร์นนท์,สิ-ริน-นน,ผู้มีสิริมงคลและความเป็นผู้นำ
ษิรินทร์นันท์,สิ-ริน-ทัน,ผู้มีสิริมงคลและความเป็นผู้นำ
ษิรินทร์ภัทร,สิ-ริน-พัด-ทรอ,ผู้มีสิริมงคลและความเป็นผู้นำ
ษิรินทร์วรรณ,ขิ-ริ-วัน,ผู้ประเสริฐ ผู้มีวรรณะงดงาม และมีสิริมงคล
ษิรินทร์วิชญ์,สิ-ริน-วิด,ผู้มีความรู้ ผู้มีสิริมงคล และเป็นใหญ่และมีสิริมงคล
ษิรินทร์สิริ,สิ-ริน-สิ-หริ,ผู้มีสิริมงคลและความเป็นผู้นำ
ษิรินธร,สิ-ริน-ทอน,ผู้มีสิริมงคล ผู้เป็นยอดหรือศีรษะอันสูงส่ง และผู้ค้ำจุน
ษิรินธา,สิ-ริน-ทา,ผู้มีสิริมงคล ผู้เป็นยอดหรือศีรษะอันสูงส่ง และผู้ดำรงไว้
ษิรินนันท์,สิ-หริ-นัน,ผู้มีสิริมงคล ผู้เป็นยอดหรือศีรษะอันสูงส่ง และผู้มีความสุขยินดี
ษุวารินทร์,สุ-วา-ริน,ผู้มีความอ่อนละมุน ความเป็นใหญ่ และความละมุนดุจสายน้ำ
ษุวิช,สุ-วิด,ผู้มีความรู้แจ้งและความรู้
สฐาน,สะ-ถาน,ผู้มีฐานะมั่นคง
สรณ์จันทร์,สอน-จัน,ผู้เป็นที่พึ่งและความระลึก ผู้มีแก่นสาร และเย็นงามดุจจันทร์
สรรเพชญ,สัน-เพ็ด,ผู้รู้ทุกสิ่งและมีแก่นสาร
สรรเพชญ์,สัน-เพ็ด,ผู้รู้ทุกสิ่งและมีแก่นสาร
สรวิชญ์,สอ-ระ-วิด,ผู้มีความรู้ ผู้มีแก่นสาร และนักปราชญ์ผู้รู้
สริมา,สะ-ริ-มา,ผู้มีความงดงามและความดีงาม
สัญปัญญ์ภัส,สัน-ยะ-ปัน-พัด,ผู้มีปัญญาและแสงสว่างเป็นเครื่องหมาย
สันทัศ,สัน-ทัด,ผู้เปี่ยมด้วยทัศนะสงบงาม
สิชล,สิ-ชน,ผู้มีความสำเร็จและสายน้ำ
สิฏฐ์วินท์,สิด-วิน,ผู้มีความก้าวหน้า
สิทธิคุณ,สิด-ทิ-คุน,ผู้มีความสำเร็จและสิทธิอันชอบ
สิทธิธณัฐ,สิด-ทิ-ทะ-นัด,ผู้มีความสำเร็จและสิทธิอันชอบและนักปราชญ์ผู้มีปัญญา
สินธู,สิน-ทู,สายน้ำใหญ่หรือทะเล
สิรภัทร,สิ-ระ-พัด,ผู้เป็นยอดหรือศีรษะอันสูงส่งและดีงามเป็นมงคล
สิรวิชญ์,สิ-ระ-วิด,ผู้มีความรู้
สิริจรูญ,สิ-หริ-จูน,ผู้มีสิริมงคล
สิริชญา,สิ-หริ-ชะ-ยา,ผู้มีสิริมงคลและปัญญา
สิริญา,สิ-หริ-ยา,ผู้มีสิริมงคลและเป็นยอดหรือศีรษะอันสูงส่ง
สิริญาลักษณ์,สิ-หริ-ยา-ลัก,ผู้มีสิริมงคล ปัญญา และความงดงาม
สิริญาวรัญญา,สิ-หริ-ยา-วะ-รัน-ยา,ผู้มีสิริมงคล ปัญญา และความยินดี
สิริณา,สิ-หริ-นา,ผู้มีสิริมงคลและเป็นยอดหรือศีรษะอันสูงส่ง
สิริธัญ,สิ-หริ-ทัน,ผู้มีสิริมงคล
สิรินภัส,สิ-หริ-นะ-พัด,ผู้มีสิริมงคลและความสว่าง
สิรินัทร,สิ-หริ-นัด,ผู้มีสิริมงคลและความอ่อนโยน
สิริภัทรา,สิ-หริ-พัด-ทรา,ผู้มีสิริมงคลและความดีงาม
สิริมา,สิ-หริ-มา,ผู้มีสิริมงคลและความดีงาม
สิริรักษ์,สิ-หริ-รัก,ผู้มีสิริมงคลและความรัก
สิริลภัทร,สิ-หริ-พัน-ทร,ผู้มีสิริมงคลและความดีงาม
สิริลักษณ์,สิ-หริ-ลัก,ผู้มีสิริมงคลและความงดงาม
สิริวรรณ,สิ-หริ-วัน,ผู้ประเสริฐ ผู้มีวรรณะงดงาม และมีสิริมงคล
สิริวรัญญา,สิ-หริ-วะ-รัน-ยา,ผู้มีความประเสริฐและปัญญา
สิริษา,สิ-หริ-สา,ผู้มีสิริมงคลและเป็นยอดหรือศีรษะอันสูงส่ง
สิริอนันต์,สิ-หริ-อะ-นัน,ผู้มีสิริมงคล
หณม,หนม,ชื่อประดิษฐ์ สื่อถึงความดีงามและความเจริญ
หน่อคำ,หน่อ-คำ,ผู้เป็นหน่อเนื้อเชื้อไขอันล้ำค่าดุจทอง
หน่องพงษ์,หน่ง-พง,ผู้สืบวงศ์ตระกูล
หน่อทอง,หน่อ-ทอง,หน่อเนื้ออันล้ำค่าดุจทอง
หนิ,หนิ,ผู้เปี่ยมด้วยเชื้อสาย
หนูประโคน,หนู-ประ-โคน,ผู้เปี่ยมด้วยเชื้อสาย
หมดมลทิน,หมด-มน-ทิน,ผู้บริสุทธิ์ปราศจากมลทิน
หมน,หมน,จิตใจ
หมั่นมา,หมั่น-มา,ผู้ขยันหมั่นเพียรและมาถึงความสำเร็จ
หรรษาคุณ,หรัด-สะ-คา-นุ,ผู้มีความสุขและคุณธรรม
หรรษาจิรา,หัน-สา-จิ-รา,ผู้มีความสุขและความยั่งยืน
หรรษาญา,หัน-สา-ยา,ผู้มีความสุขและปัญญา
หรรษาธนา,หัน-สา-ทะ-นา,ผู้มีความสุขและความมั่งคั่ง
หรรษาธร,หัน-สา-ทอน,ผู้มีความสุข
หรรษาธรรม,หัน-สา-ทำ,ผู้มีความสุขและความดีงาม
หรรษาธีร์,หัน-สา-ที,ผู้มีความสุขและปัญญา
หรรษานภัส,หัด-สะ-นา-พัด,ผู้มีความสุขและความกว้างไกล
หรรษารวิ,หัน-สา-ระ-วิ,ผู้มีความสุข ความสว่าง และความก้าวหน้า
หรรษารส,หัน-สา-รด,ผู้มีความสุข
หรรษาริน,หัน-สา-ริน,ผู้มีความสุข
หรรษาลักษณ์,หัด-สะ-ลา-กัน,ผู้มีความสุขและความงดงาม
หรรษาวร,หัน-สา-วอน,ผู้มีความสุขและความประเสริฐ
หรรษาวรรณ,หัน-สา-วัน,ผู้มีความสุขและความงดงาม
หรรษาวริศ,หัน-สา-วะ-ริด,ผู้มีความสุขและความประเสริฐ
หรรษาวิชญ์,หัด-สะ-วา-ชิด,ผู้มีความสุขและความรู้
หรรษาวิน,หัน-สา-วิน,ผู้มีความสุขและความก้าวหน้า
หรรษาอร,หัน-สา-ออน,ผู้มีความสุขและความงดงาม
หรรษาอรุณ,หัน-สา-อะ-รุน,ผู้มีความสุข
หรรษาอารี,หัน-สา-อา-รี,ผู้มีความสุขและความเมตตา
หรรษาอินทร์,หัน-สา-อิน,ผู้มีความสุขและความเป็นผู้นำ
หรรษาอิศร์,หัน-สา-อิด,ผู้มีความสุขและความเป็นผู้นำ
หริกร,หะ-ริ-กอน,ผู้มีความสง่างามและความสร้างสรรค์
หริคุณ,หะ-ริ-คุน,ผู้มีความสง่างามและคุณธรรม
หริจิรา,หะ-ริ-จา-ริ,ผู้มีความสง่างามและความยั่งยืน
หริชญา,หะ-ริ-ชะ-ยา,ผู้มีความสง่างามและปัญญา
หริชล,หะ-ริ-ชน,ผู้มีความสง่างาม
หริญา,หะ-ริ-ยา,ผู้มีความสง่างามและปัญญา
หริณกร,หริ-นะ-กอน,ผู้มีความอ่อนโยนและความสร้างสรรค์
หริณคุณ,หะ-ริน-คุน,ผู้มีความอ่อนโยนและคุณธรรม
หริณจิรา,หะ-ริน-จิ-รา,ผู้มีความอ่อนโยนและความยั่งยืน
หริณญา,หะ-ริน-ยา,ผู้มีความอ่อนโยนและปัญญา
หริณธนา,หะ-ริน-ทะ-นา,ผู้มีความอ่อนโยนและความมั่งคั่ง
หริณธร,หะ-ริน-ทอน,ผู้มีความอ่อนโยน
หริณธรรม,หะ-ริน-ทำ,ผู้มีความอ่อนโยนและความดีงาม
หริณธีร์,หะ-ริน-ที,ผู้มีความอ่อนโยนและปัญญา
หริณนภัส,หะ-ริน-นะ-พัด,ผู้มีความอ่อนโยนและความกว้างไกล
หริณภัค,หะ-ริน-นะ-พัก,ผู้มีความอ่อนโยนและโชคลาภ
หริณภัทร,หะ-ริน-นะ-พัด,ผู้มีความอ่อนโยนและความดีงาม
หริณรวิ,หะ-ริน-ระ-วิ,ผู้มีความอ่อนโยน ความสว่าง และความก้าวหน้า
หริณรส,หะ-ริน-รด,ผู้มีความอ่อนโยน
หริณริน,หะ-ริน-ริน,ผู้มีความอ่อนโยน
หริณลักษณ์,หะ-ริน-ลัก,ผู้มีความอ่อนโยนและความงดงาม
หริณวร,หะ-ริน-วอน,ผู้มีความอ่อนโยนและความประเสริฐ
หริณวรรณ,หะ-ริน-วัน,ผู้มีความอ่อนโยนและความงดงาม
หริณวริศ,หะ-หริ-นะ-วะ-ริด,ผู้มีความอ่อนโยนและความประเสริฐ
หริณวิชญ์,หะ-ริน-วิด,ผู้มีความอ่อนโยนและความรู้
หริณวิน,หะ-หริน-วิน,ผู้มีความอ่อนโยนและความก้าวหน้า
หริณอร,หะ-ริ-นะ-ออน,ผู้มีความอ่อนโยนและความงดงาม
หริณอรุณ,หะ-ริน-อะ-รุน,ผู้มีความอ่อนโยน
หริณอารี,หะ-ริน-นา-อี-รี,ผู้มีความอ่อนโยนและความเมตตา
หริณอินทร์,หะ-ริน-นิ-ทิน,ผู้มีความอ่อนโยนและความเป็นผู้นำ
หริณอิศร์,หะ-ริน-นิ-สิด,ผู้มีความอ่อนโยนและความเป็นผู้นำ
หริณัฐ,หะ-ริ-นัด,ผู้มีความสง่างามและปัญญา
หริธนา,หะ-ริ-ทะ-นา,ผู้มีความสง่างามและความมั่งคั่ง
หริธร,หะ-ริ-ทอน,ผู้มีความสง่างาม
หริธรรม,หะ-หริ-ทำ,ผู้มีความสง่างามและความดีงาม
หริธีร์,หะ-ริ-ที,ผู้มีความสง่างามและปัญญา
หรินทร์,หะ-ริน,ผู้เป็นใหญ่และไหลรินอ่อนโยน
หรินภัส,หะ-หริ-นะ-พัด,ผู้มีความสง่างามและความกว้างไกล
หรินันท์,หะ-ริ-นัน,ผู้มีความสง่างามและความยินดี
หริภัค,หะ-ริ-พัก,ผู้มีความสง่างามและโชคลาภ
หริภัทร,หะ-ริ-พัด,ผู้มีความสง่างามและความดีงาม
หริรวิ,หริ-หริ,ผู้มีความสง่างาม ความสว่าง และความก้าวหน้า
หริรส,หะ-หริ-รด,ผู้มีความสง่างาม
หริรักษ์,หริ-หรัก,ผู้มีความสง่างามและความรัก
หริริน,หริ-หริน,ผู้มีความสง่างาม
หริวร,หะ-ระ-วิน,ผู้มีความสง่างามและความประเสริฐ
หริวรรณ,หะ-ริ-วัน,ผู้มีความสง่างามและความงดงาม
หริวริศ,หะ-ระ-วะ-ริด,ผู้มีความสง่างามและความประเสริฐ
หริวิชญ์,หริ-วิด,ผู้มีความสง่างามและความรู้
หริวิน,หะ-ริ-วิน,ผู้มีความสง่างามและความก้าวหน้า
หริศคุณ,หะ-ริด-คุน,ผู้มีความสง่างามและคุณธรรม
หริศญา,หะ-ริ-สะ-ยา,ผู้มีความสง่างามและปัญญา
หริศธนา,หริด-ทะ-นา,ผู้มีความสง่างามและความมั่งคั่ง
หริศธร,หะ-ริด-ทอน,ผู้มีความสง่างาม
หริศธรรม,หะ-ริด-ทำ,ผู้มีความสง่างามและความดีงาม
หริศธีร์,หะ-ริด-ที,ผู้มีความสง่างามและปัญญา
หริศรวิ,หะ-ริ-สะ-หวิ,ผู้มีความสง่างาม ความสว่าง และความก้าวหน้า
หริศรส,หะ-หริด,ผู้มีความสง่างาม
หริศรักษ์,หะ-ริ-สะ-รัก,ผู้มีความสง่างามและความรัก
หริศริน,หะ-ริ-สะ-หริน,ผู้มีความสง่างาม
หริศรินทร์,หะ-ริ-สะ-ริน,ผู้มีความสง่างามและความเป็นผู้นำ
หริศรี,หะ-ริ-สี,ผู้มีความสง่างามและสิริมงคล
หริศิลป์,หะ-ริน,ผู้มีความสง่างาม
หริสิริ,หะ-หริ-สิ-หริ,ผู้มีความสง่างามและสิริมงคล
หริอร,หะ-ริ-หอน,ผู้มีความสง่างามและความงดงาม
หริอรุณ,หะ-ริ-หะ-รุน,ผู้มีความสง่างาม
หริอัคร,หะ-ริ-อัก,ผู้มีความสง่างาม
หริอารี,หะ-ริ-อา-รี,ผู้มีความสง่างามและความเมตตา
หริอิศร์,หะ-ริ-สิด,ผู้มีความสง่างามและความเป็นผู้นำ
หฤษฎ์,หะ-ริด,ผู้เปี่ยมด้วยพลังเฉพาะตน
หลงชิณ,หลง-ชิน,ผู้มีเสน่ห์ตรึงใจและชัยชนะ
หลิวปลอด,หลิว-ปลอด,ผู้มีความพลิ้วไหว ความปลอดภัย และความละมุน
หวานใจ,หวาน-ใจ,ผู้มีความกว้างขวาง ดวงใจ และความกว้างไกล
หอมกร,หอม-มะ-กอน,ผู้มีความสร้างสรรค์
หอมขจร,หอม-ขะ-จอน,ผู้มีชื่อเสียงเลื่องลือและผู้มีเสน่ห์หอมละมุน
หอมคุณ,หอม-คุน,ผู้มีคุณธรรม
หอมจิรา,หอม-จิ-รา,ผู้มีความยั่งยืน
หอมญา,หอม-ยา,ผู้มีปัญญา
หอมณัฐ,หอม-นัด,ผู้มีปัญญา
หอมธนา,หอม-ทะ-นา,ผู้มีความมั่งคั่ง
หอมธรรม,หอม-ทำ,ผู้มีความดีงาม
หอมธีร์,หมอ-ที,ผู้มีปัญญา
หอมนภ,หอม-นบ,ผู้มีความกว้างไกล
หอมนภัส,หอม-นะ-พัด,ผู้มีความกว้างไกล
หอมนรินทร์,หอม-นะ-ริน,ผู้มีความเป็นผู้นำ
หอมภัค,หอม-พัก,ผู้มีโชคลาภ
หอมภัทร,หอม-พัด,ผู้มีความดีงาม
หอมรวิ,หอม-ระ-วิ,ผู้มีความสว่างและความก้าวหน้า
หอมรส,หอม-รด,ผู้มีความน่าชื่นชม
หอมรักษ์,หอม-รัก,ผู้มีความรัก
หอมริน,หอม-ริน,ผู้มีความน่าชื่นชม
หอมรินทร์,หอม-ริน,ผู้มีความเป็นผู้นำ
หอมวร,หอม-วอน,ผู้มีความประเสริฐ
หอมวรรณ,หอม-วัน,ผู้มีความงดงาม
หอมวรินทร์,หอม-วะ-ริน,ผู้มีความประเสริฐ
หอมวริศ,หอม-วะ-ริด,ผู้มีความประเสริฐ
หอมวิน,หอม-วิน,ผู้มีความก้าวหน้า
หอมอร,หอม-ออน,ผู้มีความงดงาม
หอมอรุณ,หอม-อะ-รุน,ผู้มีความน่าชื่นชม
หอมอัคร,หอม-อัก,ผู้มีความน่าชื่นชม
หอมอารี,หอม-อา-รี,ผู้มีความเมตตา
หอมอิศร์,หอม-อิด,ผู้มีความเป็นผู้นำ
หะโท,หะ-โท,ผู้เปี่ยมด้วยพลังใจ
หะรง,หระ-รง,ผู้เปี่ยมด้วยพลังใจ
หะวัน,หะ-วัน,ผู้มีวันมงคลและวันอันเป็นมงคล
หาญคุณ,หาน-คุน,ผู้มีความกล้าหาญและคุณธรรม
หาญจิรา,หาน-จิ-รา,ผู้มีความกล้าหาญและความยั่งยืน
หาญชญา,หาน-ชะ-ยา,ผู้มีความกล้าหาญและปัญญา
หาญชล,หาน-ชน,ผู้มีความกล้าหาญ
หาญณัฐ,หาน-นัด,ผู้มีความกล้าหาญและปัญญา
หาญธนา,หาน-ทะ-นา,ผู้มีความกล้าหาญและความมั่งคั่ง
หาญธร,หาน-ทอน,ผู้มีความกล้าหาญ
หาญธรรม,หาน-ทำ,ผู้มีความกล้าหาญและความดีงาม
หาญธีร์,หาน-ที,ผู้มีความกล้าหาญและปัญญา
หาญนภ,หาน-นะ-พบ,ผู้มีความกล้าหาญและความกว้างไกล
